"level-id","level","time","text","code","proc","src","plugin"
"4","info","00:00:14:251","run 47; xval 715; y val 1919","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:251","run 47; xval 717; y val 1855","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:251","run 47; xval 705; y val 1641","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:263","run 48; xval 720; y val 1719","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:263","run 48; xval 698; y val 1906","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:263","run 48; xval 715; y val 1919","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:263","run 48; xval 700; y val 1808","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:263","run 48; xval 701; y val 1717","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:263","run 48; xval 719; y val 1759","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:276","run 49; xval 719; y val 1770","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:276","run 49; xval 698; y val 1919","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:276","run 49; xval 717; y val 1842","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:276","run 49; xval 715; y val 1919","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:277","run 49; xval 704; y val 1660","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:284","run 50; xval 719; y val 1760","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:284","run 50; xval 698; y val 1919","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:284","run 50; xval 715; y val 1915","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
"4","info","00:00:14:284","run 50; xval 546; y val 1484","OK","7995/0","cLaneDetection.cpp(1088)","cLaneDetection_plugin"
